code,date,open,high,low,close,volume,amount
SH510300,2026-08-31,3.812,3.845,3.802,3.838,198000000,760000000
SH510300,2026-09-01,3.838,3.856,3.821,3.829,176000000,674000000
SH510300,2026-09-02,3.829,3.841,3.812,3.818,163000000,622000000
SH510300,2026-09-03,3.818,3.833,3.809,3.827,151000000,578000000
SH510300,2026-09-04,3.827,3.844,3.819,3.836,142000000,545000000
SH510300,2026-09-07,3.836,3.849,3.822,3.825,133000000,509000000
SH510300,2026-09-08,3.825,3.838,3.814,3.819,126000000,481000000
SH510300,2026-09-09,3.819,3.831,3.807,3.812,118000000,450000000
SH510300,2026-09-10,3.812,3.826,3.804,3.824,121000000,463000000
SH510300,2026-09-11,3.824,3.877,3.820,3.869,289000000,1118000000
SH510300,2026-09-14,3.869,3.921,3.862,3.914,312000000,1221000000
SH510300,2026-09-15,3.914,3.968,3.906,3.957,341000000,1349000000
